Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
Aventail Corporation,10/02/2001,C900466228,3577,334119,8,7.00,122.00,2,SAIC Venture Capital Corporation,SAIC Venture Capital Corporation,-
Aventail Corporation,10/02/2001,C900466228,3577,334119,8,7.00,122.00,2,Undisclosed Firm,Undisclosed Fund,-
Aventail Corporation,05/08/2001,C900466228,3577,334119,6,7.00,108.00,2,Focus Ventures Ltd,Focus Ventures II,0.36
Aventail Corporation,05/08/2001,C900466228,3577,334119,6,7.00,108.00,2,Undisclosed Firm,Undisclosed Fund,-
"Avicis, Inc.",03/02/2001,C900919470,7375,524114,4,5.25,21.75,4,"Blue Chip Venture Company, Ltd.","Blue Chip Capital Fund III, L.P.",-
"Avicis, Inc.",03/02/2001,C900919470,7375,524114,4,5.25,21.75,4,Grotech Ventures,"Grotech Partners V, L.P.",3.00
"Avicis, Inc.",03/02/2001,C900919470,7375,524114,4,5.25,21.75,4,Undisclosed Firm,Undisclosed Fund,-
"Avicis, Inc.",03/02/2001,C900919470,7375,524114,4,5.25,21.75,4,Vimac Ventures LLC,"VIMAC IT II (FKA: Early Stage Fund, L.P.)",0.25
"Avocet Medical, Inc.",07/01/2001,C900544058,3845,334517,4,-,1.10,1,InterWest Partners LLC,InterWest Partners VI,-
"Axcelerant, Inc.",04/25/2001,C901169917,4813,517110,1,6.00,14.00,1,Riordan Lewis & Haden,"Riordan, Lewis & Haden - Unspecified Fund",-
"Axicon Technologies, Inc.",07/31/2001,C900903992,-,-,6,1.00,25.50,1,Undisclosed Firm,Undisclosed Fund,-
"Axiom Systems Holdings, Ltd.",09/25/2001,C903395374,7372,511210,5,-,32.83,1,Geocapital Partners LLC,"Geocapital V, L.P.",-
Axis Mobile Ltd,02/04/2001,C903013057,4812,517210,1,3.00,12.00,1,"Pitango Venture Capital Management Israel, Ltd.",Pitango Fund III,3.00
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,"Blue Chip Venture Company, Ltd.",Blue Chip Venture Company - Unspecified Fund,-
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,Gilat Satellite Networks Ltd,Gilat Satellite Networks Ltd. (FKA:Gilat Comm. Systems Ltd),-
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,Massey Burch Capital Corp,Massey Burch Capital Corporation - Unspecified Fund,-
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,Richland Ventures,Richland Ventures III,1.20
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,Forrest Binkley & Brown,"SBIC Partners, L.P.",-
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,T. Rowe Price Threshold Partnerships,T. Rowe Price Threshold Partnerships - Unspecified Fund,-
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,Tudor Ventures,"Tudor Private Equity Fund, LP",-
Axolotl Corporation,07/25/2001,C900206409,3571,334111,3,17.70,60.00,8,Vanguard Atlantic Ltd,Vanguard Atlantic Ltd. - Unspecified Fund,-
"Axonn, LLC",07/31/2001,C900928909,7372,511210,3,4.50,50.00,4,Cordova Ventures,"Cordova Intellimedia Ventures, L.P.",0.15
"Axonn, LLC",07/31/2001,C900928909,7372,511210,3,4.50,50.00,4,Chevron Technology Ventures L L C,CTTV Investments Fund II,2.00
"Axonn, LLC",07/31/2001,C900928909,7372,511210,3,4.50,50.00,4,Cordova Ventures,"Industrial Technology Ventures, L.P.",0.82
"Axonn, LLC",07/31/2001,C900928909,7372,511210,3,4.50,50.00,4,Undisclosed Firm,Undisclosed Fund,-
Azonic Networks,03/01/2001,C900653972,4899,517919,1,24.55,31.91,6,Business Development Bank of Canada,BDC Venture Capital Group,1.18
Azonic Networks,03/01/2001,C900653972,4899,517919,1,24.55,31.91,6,BEST Funds,Best Funds - Unspecified Fund,3.23
Azonic Networks,03/01/2001,C900653972,4899,517919,1,24.55,31.91,6,BMO Capital Corp,BMO CBMMF,0.84
Azonic Networks,03/01/2001,C900653972,4899,517919,1,24.55,31.91,6,CIBC WOOD GUNDY CAPITAL,CIBC Wood Gundy Capital - Unspecified Fund,-
Azonic Networks,03/01/2001,C900653972,4899,517919,1,24.55,31.91,6,Undisclosed Firm,Undisclosed Fund,-
Azonic Networks,03/01/2001,C900653972,4899,517919,1,24.55,31.91,6,Undisclosed Firm,Undisclosed Fund,-
AZYX Geopharma Information Services,05/31/2001,C901178578,-,-,2,4.02,10.26,3,E Capital Management Scrl,E-Capital S.C.A.,1.27
AZYX Geopharma Information Services,05/31/2001,C901178578,-,-,2,4.02,10.26,3,Srib,SRIB / GIMB,0.22
AZYX Geopharma Information Services,05/31/2001,C901178578,-,-,2,4.02,10.26,3,Undisclosed Firm,Undisclosed Fund,-
B & BC spol s ro,02/26/2001,C901157232,-,-,7,-,3.10,1,Renaissance Partners sro,European Renaissance Capital,-
B ThereCom,03/22/2001,C900581370,7372,334611,2,6.50,16.50,3,BancBoston Capital/BancBoston Ventures,BancBoston Ventures,-
B ThereCom,03/22/2001,C900581370,7372,334611,2,6.50,16.50,3,Seaport Capital LLC,Seaport Capital Partners II,1.30
B ThereCom,03/22/2001,C900581370,7372,334611,2,6.50,16.50,3,TL Ventures Inc,TL Ventures IV,0.96
B2 Bredband AB,09/07/2001,C900573382,7375,511210,5,228.00,416.80,5,Carlyle Group LP,"Carlyle Europe Venture Partners, L.P.",8.86
B2 Bredband AB,09/07/2001,C900573382,7375,511210,5,228.00,416.80,5,Continuum Group Ltd,"Continuum Group, Ltd.",-
B2 Bredband AB,09/07/2001,C900573382,7375,511210,5,228.00,416.80,5,Investor Growth Capital AB,Investor AB - Unspecified Fund,-
B2 Bredband AB,09/07/2001,C900573382,7375,511210,5,228.00,416.80,5,Undisclosed Firm,Undisclosed Fund,-
B2 Bredband AB,09/07/2001,C900573382,7375,511210,5,228.00,416.80,5,Undisclosed Firm,Undisclosed Fund,-
B2BVideo.com,05/25/2001,C900929006,-,-,2,2.00,16.50,2,DALEWOOD ASSOCIATES L P,Dalewood Associates - Unspecified Fund,0.23
B2BVideo.com,05/25/2001,C900929006,-,-,2,2.00,16.50,2,Wheatley Partners,Wheatley Partners - Unspecified Fund,-
B2C2 Inc,07/16/2001,C901371472,3663,517210,2,4.20,21.20,3,Maton Venture,Maton Venture - Unspecified Fund,-
B2C2 Inc,07/16/2001,C901371472,3663,517210,2,4.20,21.20,3,Paradigm Capital Partners LLC,Paradigm Capital Partners - Unspecified Fund,-
B2C2 Inc,07/16/2001,C901371472,3663,517210,2,4.20,21.20,3,Undisclosed Firm,Undisclosed Fund,-
"Bacchus Vascular, Inc.",11/15/2001,C900907916,8731,541711,3,5.70,25.23,5,De Novo Ventures LLC,"De Novo Ventures I, L.P.",0.75
"Bacchus Vascular, Inc.",11/15/2001,C900907916,8731,541711,3,5.70,25.23,5,Three Arch Partners LP,"Three Arch Partners II, L.P.",0.75
"Bacchus Vascular, Inc.",11/15/2001,C900907916,8731,541711,3,5.70,25.23,5,Undisclosed Firm,Undisclosed Fund,1.50
"Bacchus Vascular, Inc.",11/15/2001,C900907916,8731,541711,3,5.70,25.23,5,Undisclosed Firm,Undisclosed Fund,-
"Bacchus Vascular, Inc.",11/15/2001,C900907916,8731,541711,3,5.70,25.23,5,Vertical Ventures  LLC,Vertical Ventures -Unspecified Fund,0.70
"BAM! Entertainment, Inc.",05/01/2001,C000079868,7372,334611,3,5.54,35.70,1,"Morgan Keegan & Co., Inc.",Morgan Keegan - Unspecified Fund,-
Bankier.pl S.A.,02/08/2001,C901241701,7372,511210,2,0.86,4.28,3,bmp Holding AG,bmp eBusiness AG,0.42
Bankier.pl S.A.,02/08/2001,C901241701,7372,511210,2,0.86,4.28,3,bmp Holding AG,Central & Eastern Europe Venture GmbH (CEEV),0.42
"Banter Systems, Inc.",04/01/2001,C901451321,7372,511210,3,-,68.45,2,Mayfield Fund,Mayfield X,-
"Banter Systems, Inc.",04/01/2001,C901451321,7372,511210,3,-,68.45,2,Mayfield Fund,Mayfield XI Qualified,-
"Basis100, Inc.",12/20/2001,C000067093,7389,561499,3,-,61.85,1,Paradigm Capital Partners LLC,Paradigm Capital Partners - Unspecified Fund,-
Batanga Inc,05/02/2001,C902784733,4832,515111,2,1.00,6.84,2,Atlantis Group LLC,Atlantis Group,0.30
Batanga Inc,05/02/2001,C902784733,4832,515111,2,1.00,6.84,2,Southern Capitol Ventures,"Southern Capitol Technology Fund I, L.P.",-
"BayPackets, Inc.",02/28/2001,C901394915,7372,511210,1,9.10,45.00,2,Alcatel-Lucent Ventures,Lucent Venture Partners III,5.00
"BayPackets, Inc.",02/28/2001,C901394915,7372,511210,1,9.10,45.00,2,Undisclosed Firm,Undisclosed Fund,-
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Eastman Kodak Co,Eastman Kodak Company,0.50
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Enterprise Partners Management LLC,"Enterprise Partners IV, L.P.",1.50
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Intel Capital Corp,Intel Corporation,0.50
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Philips Venture Capital Fund BV,Philips Venture Capital Fund BV,0.50
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Snider Capital LP,Snider Capital -Unspecified Fund,2.00
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Undisclosed Firm,Undisclosed Fund,-
Be Here Corporation,05/23/2001,C900210351,3827,333314,3,5.40,22.60,7,Wasserstein & Co LP,"Wasserstein Adelson Ventures, L.P.",0.40
Beacon Education Management,05/03/2001,C000078951,9411,923110,3,3.00,30.94,3,Hamco Capital Corp,Hamco Capital Corp.,-
Beacon Education Management,05/03/2001,C000078951,9411,923110,3,3.00,30.94,3,J. F. Shea Co Inc,J.F. Shea & Company,-
Beacon Education Management,05/03/2001,C000078951,9411,923110,3,3.00,30.94,3,W R Hambrecht & Co L L C,W.R. Hambrecht & Co. Fund,-
Beacon Technologies Inc,05/01/2001,C901371528,-,-,1,-,5.00,1,Centura SBIC Inc,"Centura SBIC, Inc.",0.75
Beamreach Networks Inc,01/12/2001,C900579287,3663,334220,2,40.00,120.00,6,Berkeley International Capital Corp,Berkeley International Capital Corporation-Unspecified Fund,-
Beamreach Networks Inc,01/12/2001,C900579287,3663,334220,2,40.00,120.00,6,Goldman Sachs & Co,"Goldman, Sachs & Company - Unspecified Fund",-
Beamreach Networks Inc,01/12/2001,C900579287,3663,334220,2,40.00,120.00,6,"Mitsui & Co. Global Investment, Ltd.","Mitsui & Co, Ltd.",-
Beamreach Networks Inc,01/12/2001,C900579287,3663,334220,2,40.00,120.00,6,Sofinnova Ventures Inc,Sofinnova Venture Partners IV,2.81
Beamreach Networks Inc,01/12/2001,C900579287,3663,334220,2,40.00,120.00,6,Sofinnova Ventures Inc,Sofinnova Venture Partners V,4.75
Beamreach Networks Inc,01/12/2001,C900579287,3663,334220,2,40.00,120.00,6,Walden International,Walden International - Unspecified Fund,-
"BEI Medical Systems Co., Inc.",02/16/2001,C000000513,3845,334517,1,4.18,14.45,7,Radius Ventures LLC,"Radius Venture Partners I, L.P.",-
"BEI Medical Systems Co., Inc.",02/16/2001,C000000513,3845,334517,1,4.18,14.45,7,Undisclosed Firm,Undisclosed Fund,-
"BEI Medical Systems Co., Inc.",02/16/2001,C000000513,3845,334517,1,4.18,14.45,7,Undisclosed Firm,Undisclosed Fund,-
"BEI Medical Systems Co., Inc.",02/16/2001,C000000513,3845,334517,1,4.18,14.45,7,Undisclosed Firm,Undisclosed Fund,-
"BEI Medical Systems Co., Inc.",02/16/2001,C000000513,3845,334517,1,4.18,14.45,7,Undisclosed Firm,Undisclosed Fund,-
"BEI Medical Systems Co., Inc.",09/05/2001,C000000513,3845,334517,2,7.20,25.46,5,HealthSouth Corp,HEALTHSOUTH Corporation - Unspecified Fund,-
"BEI Medical Systems Co., Inc.",09/05/2001,C000000513,3845,334517,2,7.20,25.46,5,Radius Ventures LLC,"Radius Venture Partners I, L.P.",-
"BEI Medical Systems Co., Inc.",09/05/2001,C000000513,3845,334517,2,7.20,25.46,5,Undisclosed Firm,Undisclosed Fund,-
"BEI Medical Systems Co., Inc.",09/05/2001,C000000513,3845,334517,2,7.20,25.46,5,Undisclosed Firm,Undisclosed Fund,-
"BEI Medical Systems Co., Inc.",09/05/2001,C000000513,3845,334517,2,7.20,25.46,5,Undisclosed Firm,Undisclosed Fund,-
Benefitmall Inc,06/26/2001,C900430352,6411,524298,3,12.00,89.74,4,Austin Ventures,"Austin Ventures VI, L.P.",2.65
Benefitmall Inc,06/26/2001,C900430352,6411,524298,3,12.00,89.74,4,Humana Ventures,Humana Ventures - Unspecified Fund,-
Benefitmall Inc,06/26/2001,C900430352,6411,524298,3,12.00,89.74,4,Morgan Stanley Venture Partners,"Morgan Stanley Dean Witter Venture Partners IV, L.P.",2.22
Benefitmall Inc,06/26/2001,C900430352,6411,524298,3,12.00,89.74,4,Technology Crossover Ventures LP,"Technology Crossover Ventures IV, L.P.",4.65
"Berdy Medical Systems, Inc.",02/01/2001,C901402929,7372,511210,1,5.90,15.00,3,Crossbow Ventures Inc,"Crossbow Equity Partners, LP",-
"Berdy Medical Systems, Inc.",02/01/2001,C901402929,7372,511210,1,5.90,15.00,3,Crossbow Ventures Inc,"Crossbow Venture Partners, LP",1.00
"Berdy Medical Systems, Inc.",02/01/2001,C901402929,7372,511210,1,5.90,15.00,3,Undisclosed Firm,Undisclosed Fund,-
Best Doctors Inc,06/13/2001,C900916701,7372,511210,3,1.50,27.75,3,Coleman Swenson Booth Inc,"Coleman Swenson Hoffman Booth IV, L.P.",0.10
Best Doctors Inc,06/13/2001,C900916701,7372,511210,3,1.50,27.75,3,Polaris Venture Partners,"Polaris Venture Partners II, L.P.",0.66
Best Doctors Inc,06/13/2001,C900916701,7372,511210,3,1.50,27.75,3,Psilos Group Managers LLC,Psilos Group Ventures,-
"BeVocal, Inc.",08/03/2001,C900910121,7372,511210,4,16.89,63.30,4,Bellsouth Corp,Bell South Ventures Corp.,-
"BeVocal, Inc.",08/03/2001,C900910121,7372,511210,4,16.89,63.30,4,Mayfield Fund,Mayfield X,3.33
"BeVocal, Inc.",08/03/2001,C900910121,7372,511210,4,16.89,63.30,4,Technology Crossover Ventures LP,"Technology Crossover Ventures IV, L.P.",2.82
"BeVocal, Inc.",08/03/2001,C900910121,7372,511210,4,16.89,63.30,4,U.S. Venture Partners,"U.S. Venture Partners VII, L.P.",3.20
BG Medicine Inc,05/17/2001,C901735479,2835,325413,2,5.09,61.00,3,Elan Corporation Ltd,Elan Corporation PLC,4.57
BG Medicine Inc,05/17/2001,C901735479,2835,325413,2,5.09,61.00,3,Flagship Ventures,"OneLiberty Ventures 2000, L.P.",0.43
BG Medicine Inc,05/17/2001,C901735479,2835,325413,2,5.09,61.00,3,Undisclosed Firm,Undisclosed Fund,-
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,International Finance Corporation,International Finance Corporation - Direct Investment Fund,20.00
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,GoldPoint Partners LLC,New York Life International India Fund I,5.00
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,Singtel Ventures (Singapore) Pte Ltd,SingTel Ventures - Direct Investment Fund,200.00
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,Undisclosed Firm,Undisclosed Fund,20.00
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,Undisclosed Firm,Undisclosed Fund,-
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,Warburg Pincus LLC,"Warburg Pincus Equity Partners, L.P.",51.57
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,Warburg Pincus LLC,"Warburg Pincus International Partners, L.P.",58.50
Bharti Airtel Ltd,05/07/2001,C000080767,4813,517911,5,460.00,"1,969.76",9,Warburg Pincus LLC,"Warburg Pincus Ventures International, L.P.",14.93
Bharti Airtel Ltd,07/16/2001,C000080767,4813,517911,6,75.00,"1,821.07",3,Warburg Pincus LLC,"Warburg Pincus Equity Partners, L.P.",30.94
Bharti Airtel Ltd,07/16/2001,C000080767,4813,517911,6,75.00,"1,821.07",3,Warburg Pincus LLC,"Warburg Pincus International Partners, L.P.",35.10
Bharti Airtel Ltd,07/16/2001,C000080767,4813,517911,6,75.00,"1,821.07",3,Warburg Pincus LLC,"Warburg Pincus Ventures International, L.P.",8.96
"Bid4Vacations.com, Inc.",07/01/2001,C900213499,4724,561510,5,0.80,4.30,2,Sequel Venture Partners,"Sequel Limited Partnership II, L.P.",0.64
"Bid4Vacations.com, Inc.",07/01/2001,C900213499,4724,561510,5,0.80,4.30,2,Undisclosed Firm,Undisclosed Fund,-
Bidpath Corporation,09/14/2001,C900935951,-,-,3,4.69,19.88,3,E F U N D   L L C,eFund -Unspecified Fund,0.15
Bidpath Corporation,09/14/2001,C900935951,-,-,3,4.69,19.88,3,Timberline Venture Partners,Timberline Venture Partners,-
Bidpath Corporation,09/14/2001,C900935951,-,-,3,4.69,19.88,3,Venture Strategy Partners LP,Venture Strategy Partners I,-
Big Bear Networks Inc,12/21/2001,C901366739,3674,334413,2,40.40,65.40,6,Accel Partners & Co Inc,Accel Partners - Unspecified Fund,9.60
Big Bear Networks Inc,12/21/2001,C901366739,3674,334413,2,40.40,65.40,6,Austin Ventures,"Austin Ventures VII, L.P.",9.00
Big Bear Networks Inc,12/21/2001,C901366739,3674,334413,2,40.40,65.40,6,Menlo Ventures,"Menlo Ventures IX, L.P.",11.37
Big Bear Networks Inc,12/21/2001,C901366739,3674,334413,2,40.40,65.40,6,Oak Investment Partners,"Oak Investment Partners X, L.P.",5.40
Big Bear Networks Inc,12/21/2001,C901366739,3674,334413,2,40.40,65.40,6,Sequoia Capital,Sequoia Capital - Unspecified Fund,4.40
Big Bear Networks Inc,12/21/2001,C901366739,3674,334413,2,40.40,65.40,6,Undisclosed Firm,Undisclosed Fund,-
"Bill Me Later, Inc.",05/29/2001,C901434724,7375,517110,2,11.00,26.13,4,Crosspoint Venture Partners,"Crosspoint Venture Partners 2000 Q, L.P.",6.00
"Bill Me Later, Inc.",05/29/2001,C901434724,7375,517110,2,11.00,26.13,4,Undisclosed Firm,Undisclosed Fund,-
"Bill Me Later, Inc.",05/29/2001,C901434724,7375,517110,2,11.00,26.13,4,Undisclosed Firm,Undisclosed Fund,-
"Bill Me Later, Inc.",05/29/2001,C901434724,7375,517110,2,11.00,26.13,4,Undisclosed Firm,Undisclosed Fund,-
"Bill Me Later, Inc.",11/16/2001,C901434724,7375,517110,3,15.00,41.89,2,"Azure Capital Partners, L.P.",Azure Capital Partners - Unspecified Fund,-
"Bill Me Later, Inc.",11/16/2001,C901434724,7375,517110,3,15.00,41.89,2,Crosspoint Venture Partners,"Crosspoint Venture Partners 2000 Q, L.P.",5.12
Billbird Sa,03/01/2001,C900752973,-,334611,3,0.00,3.73,1,Innova Capital Sp z o o,Innova/98 LP,0.00
BinOptics Corp,01/19/2001,C901173065,3674,334413,1,2.80,10.10,2,Draper Fisher Jurvetson,"Draper Fisher Jurvetson Fund VII, LP",2.54
BinOptics Corp,01/19/2001,C901173065,3674,334413,1,2.80,10.10,2,Stanford University,Stanford University,-
"BioAcoustics, Inc.",03/27/2001,C900921626,-,-,12,-,3.50,2,Venture Investors L L C,"Venture Investors Early Stage Fund II, L.P.",-
"BioAcoustics, Inc.",03/27/2001,C900921626,-,-,12,-,3.50,2,Venture Investors L L C,"Venture Investors Early Stage Fund III, L.P.",-
"BioAcoustics, Inc.",03/20/2001,C900921626,-,-,11,1.40,3.50,2,Undisclosed Firm,Undisclosed Fund,0.20
"BioAcoustics, Inc.",03/20/2001,C900921626,-,-,11,1.40,3.50,2,Venture Investors L L C,Venture Investors LLC - Unspecified Fund,-
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Dehon Enterprises Inc,"Arthur D. Little, Inc.",0.31
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Claflin Capital Management Inc,Black Diamond Fund,0.50
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Mass Ventures,Commonwealth Fund Investment Program II,0.30
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Fleet Development Ventures LLC,Fleet Development Ventures - Unspecified Fund,0.50
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Massachusetts Capital Resource,Massachusetts Capital Resource Company,0.50
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Undisclosed Firm,Undisclosed Fund,0.20
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Undisclosed Firm,Undisclosed Fund,0.55
Biofertec,09/18/2001,C901186846,-,-,1,3.00,3.60,8,Undisclosed Firm,Undisclosed Fund,-
"Biolex Therapeutics, Inc.",04/20/2001,C900466342,2834,325414,5,3.25,13.53,5,Franklin Street Partners Inc,Franklin Street Partners -Unspecified Fund,0.75
"Biolex Therapeutics, Inc.",04/20/2001,C900466342,2834,325414,5,3.25,13.53,5,Intersouth Partners,Intersouth Partners - Unspecified Fund,1.00
"Biolex Therapeutics, Inc.",04/20/2001,C900466342,2834,325414,5,3.25,13.53,5,Kitty Hawk Capital Inc,"Kitty Hawk Capital, L.P. IV",0.50
"Biolex Therapeutics, Inc.",04/20/2001,C900466342,2834,325414,5,3.25,13.53,5,Tall Oaks Capital Partners LLC,Tall Oaks Capital Partners - Unspecified Fund,0.25
"Biolex Therapeutics, Inc.",04/20/2001,C900466342,2834,325414,5,3.25,13.53,5,Wakefield Group,Wakefield Group - Unspecified Fund,0.75
"BioLucent, Inc.",09/30/2001,C901196860,3841,339112,2,3.90,10.75,3,Atherton Venture Partners LLC,Atherton Venture Partners - Unspecified Fund,-
"BioLucent, Inc.",09/30/2001,C901196860,3841,339112,2,3.90,10.75,3,St Paul Venture Capital Inc,St. Paul Venture Capital VI,-
"BioLucent, Inc.",09/30/2001,C901196860,3841,339112,2,3.90,10.75,3,Windamere Venture Partners LLC,Windamere Venture Partners,-
Biomarin Pharmaceutical Inc,05/16/2001,C000064937,2834,325412,2,42.50,399.74,6,OrbiMed Advisors LLC,"Caduceus Private Investments, L.P.",6.20
Biomarin Pharmaceutical Inc,05/16/2001,C000064937,2834,325412,2,42.50,399.74,6,equity4life AG in Liquidation,equity4life AG,6.90
Biomarin Pharmaceutical Inc,05/16/2001,C000064937,2834,325412,2,42.50,399.74,6,Pequot Capital Management Inc,"Pequot Capital Management, Inc. - Unspecified Fund",2.30
BioMimetic Therapeutics Inc,03/28/2001,C901154635,2836,339112,1,6.50,9.00,3,Burrill & Company,Burrill Biotechnology Capital Fund,2.00
BioMimetic Therapeutics Inc,03/28/2001,C901154635,2836,339112,1,6.50,9.00,3,Holden Capital LLC,Holden Capital -Unspecified Fund,-
BioMimetic Therapeutics Inc,03/28/2001,C901154635,2836,339112,1,6.50,9.00,3,Undisclosed Firm,Undisclosed Fund,-
BioProcessors Corporation,09/30/2001,C901403080,8731,541712,1,1.00,1.00,3,Oxford Bioscience Partners,"Oxford Bioscience Partners IV, LP",-
BioProcessors Corporation,09/30/2001,C901403080,8731,541712,1,1.00,1.00,3,Undisclosed Firm,Undisclosed Fund,-
BioProcessors Corporation,09/30/2001,C901403080,8731,541712,1,1.00,1.00,3,Undisclosed Firm,Undisclosed Fund,-
BioProcessors Corporation,10/24/2001,C901403080,8731,541712,2,6.00,9.50,3,Oxford Bioscience Partners,"Oxford Bioscience Partners IV, LP",3.83
BioProcessors Corporation,10/24/2001,C901403080,8731,541712,2,6.00,9.50,3,Undisclosed Firm,Undisclosed Fund,-
BioProcessors Corporation,10/24/2001,C901403080,8731,541712,2,6.00,9.50,3,Undisclosed Firm,Undisclosed Fund,-
"Bistro Concepts, Ltd.",01/31/2001,C901203981,-,-,4,-,2.40,2,European Convergence Partners Sp z o o w likwidacji,Pioneer Poland Fund - UK Partnership,-
"Bistro Concepts, Ltd.",01/31/2001,C901203981,-,-,4,-,2.40,2,European Convergence Partners Sp z o o w likwidacji,Pioneer Poland Fund - US Partnership,-
BitBlitz Communications,03/08/2001,C901398587,3674,334413,2,11.00,36.00,5,Boulder Ventures Ltd,Boulder Ventures IV,2.50
BitBlitz Communications,03/08/2001,C901398587,3674,334413,2,11.00,36.00,5,Maton Venture,"Maton Fund I, L.P.",0.85
BitBlitz Communications,03/08/2001,C901398587,3674,334413,2,11.00,36.00,5,U.S. Venture Partners,"U.S. Venture Partners VII, L.P.",5.76
BitBlitz Communications,03/08/2001,C901398587,3674,334413,2,11.00,36.00,5,Undisclosed Firm,Undisclosed Fund,-
BitBlitz Communications,03/08/2001,C901398587,3674,334413,2,11.00,36.00,5,Undisclosed Firm,Undisclosed Fund,1.65
Bitfone Corporation,10/01/2001,C901185417,7372,511210,1,8.35,22.00,3,Nexit Ventures Oy,Nexit Infocom 2000 Fund,0.65
Bitfone Corporation,10/01/2001,C901185417,7372,511210,1,8.35,22.00,3,Bluerun Ventures L P,Nokia Venture Partners II,7.70
Bitfone Corporation,10/01/2001,C901185417,7372,511210,1,8.35,22.00,3,Undisclosed Firm,Undisclosed Fund,-
Bitpipe Communications,07/10/2001,C901678507,-,-,2,2.42,5.90,5,Claflin Capital Management Inc,Black Diamond Fund,0.40
Bitpipe Communications,07/10/2001,C901678507,-,-,2,2.42,5.90,5,Cnet Marketplaces  Inc,CNET-Unspecified Fund,0.60
Bitpipe Communications,07/10/2001,C901678507,-,-,2,2.42,5.90,5,CommonAngels Ventures,Common Angels Fund I,0.74
Bitpipe Communications,07/10/2001,C901678507,-,-,2,2.42,5.90,5,Mass Ventures,Commonwealth Fund Investment Program II,0.40
Bitpipe Communications,07/10/2001,C901678507,-,-,2,2.42,5.90,5,"RVC Europe, Ltd.",Reuters Group PLC - Unspecified Fund,0.29
Bizfinity Inc,03/16/2001,C901760955,7375,517110,4,9.00,14.91,4,Convergence Partners,"Convergence Entrepreneurs Fund, L.P.",-
Bizfinity Inc,03/16/2001,C901760955,7375,517110,4,9.00,14.91,4,KeyNote Ventures,Dali Hook Partners - Unspecified Fund,1.09
Bizfinity Inc,03/16/2001,C901760955,7375,517110,4,9.00,14.91,4,Labrador Ventures,"Labrador Ventures II, L.P.",0.13
Bizfinity Inc,03/16/2001,C901760955,7375,517110,4,9.00,14.91,4,"New Enterprise Associates, Inc.","New Enterprise Associates 9, L.P.",3.34
Bizfon Inc,02/01/2001,C900214822,3661,334210,5,0.50,30.00,1,Axiom Venture Partners LP,"Axiom Venture Partners II, L.P.",0.50
BizProLink Network,07/26/2001,C900648554,7375,519130,4,3.20,16.00,1,Crossbow Ventures Inc,"Crossbow Equity Partners, LP",-
BizProLink Network,01/05/2001,C900648554,7375,519130,3,1.80,50.00,2,Undisclosed Firm,Undisclosed Fund,1.50
BizProLink Network,01/05/2001,C900648554,7375,519130,3,1.80,50.00,2,Undisclosed Firm,Undisclosed Fund,-
Bizzenergy Ltd,02/16/2001,C901275886,4911,221122,2,4.80,49.60,2,Atlas Venture,Atlas Venture V,0.35
