"investment.date","company.id","firm.name","round.number","amount","valuation","equity.invested"
1991-02-14,"Company A","Fund 4",10,5,30,50
1991-02-14,"Company A","Fund 5",10,3,39,56
1991-02-14,"Company A","Fund 6",10,6,40,43
1991-02-14,"Company A","Fund 7",10,2,38,40
1991-02-14,"Company A","Fund 8",10,2,25,63
1991-02-14,"Company A","Fund 9",10,8,24,55
1991-02-14,"Company A","Fund 10",10,9,38,50
1991-03-19,"Company B","Fund 1",1,8,23,1
1991-03-19,"Company B","Fund 2",1,8,38,1
1991-03-19,"Company B","Fund 3",1,1,23,1
1991-03-19,"Company B","Fund 4",1,10,27,1
1991-03-19,"Company B","Fund 5",1,9,38,1
1991-03-19,"Company B","Fund 6",1,10,37,1
1991-03-19,"Company B","Fund 7",1,6,37,1
1991-03-19,"Company B","Fund 8",1,8,22,1
1991-03-19,"Company B","Fund 9",1,5,35,1
1991-03-19,"Company B","Fund 10",1,1,33,1
1991-04-01,"Company B","Fund 1",2,4,22,8
1991-04-01,"Company B","Fund 2",2,3,25,8
1991-04-01,"Company B","Fund 3",2,5,31,1
1991-04-01,"Company B","Fund 4",2,7,28,10
1991-04-01,"Company B","Fund 5",2,4,33,9
1991-04-01,"Company B","Fund 6",2,2,31,10
1991-04-01,"Company B","Fund 7",2,2,40,6
1991-04-01,"Company B","Fund 8",2,5,37,8
1991-04-01,"Company B","Fund 9",2,6,33,5
1991-04-01,"Company B","Fund 10",2,6,39,1
1991-05-24,"Company B","Fund 1",3,3,37,12
1991-05-24,"Company B","Fund 2",3,2,36,11
1991-05-24,"Company B","Fund 3",3,10,22,6
1991-05-24,"Company B","Fund 4",3,1,28,17
1991-05-24,"Company B","Fund 5",3,10,28,13
1991-05-24,"Company B","Fund 6",3,1,32,12
1991-05-24,"Company B","Fund 7",3,10,32,8
1991-05-24,"Company B","Fund 8",3,5,31,13
1991-05-24,"Company B","Fund 9",3,9,22,11
1991-05-24,"Company B","Fund 10",3,7,22,7
1991-05-26,"Company B","Fund 1",4,3,34,15
1991-05-26,"Company B","Fund 2",4,8,29,13
1991-05-26,"Company B","Fund 3",4,1,27,16
1991-05-26,"Company B","Fund 4",4,5,31,18
1991-05-26,"Company B","Fund 5",4,2,35,23
1991-05-26,"Company B","Fund 6",4,8,25,13
1991-05-26,"Company B","Fund 7",4,4,26,18
1991-05-26,"Company B","Fund 8",4,3,39,18
1991-05-26,"Company B","Fund 9",4,7,22,20
1991-05-26,"Company B","Fund 10",4,4,38,14
1991-06-13,"Company B","Fund 1",5,3,40,18
1991-06-13,"Company B","Fund 2",5,9,23,21
1991-06-13,"Company B","Fund 3",5,3,26,17
1991-06-13,"Company B","Fund 4",5,10,38,23
1991-06-13,"Company B","Fund 5",5,6,23,25
1991-06-13,"Company B","Fund 6",5,5,23,21
1991-06-13,"Company B","Fund 7",5,8,24,22
1991-06-13,"Company B","Fund 8",5,5,36,21
1991-06-13,"Company B","Fund 9",5,6,26,27
1991-06-13,"Company B","Fund 10",5,3,38,18
1991-09-15,"Company B","Fund 1",6,8,23,21
1991-09-15,"Company B","Fund 2",6,9,27,30
1991-09-15,"Company B","Fund 3",6,2,27,20
1991-09-15,"Company B","Fund 4",6,8,34,33
1991-09-15,"Company B","Fund 5",6,9,36,31
1991-09-15,"Company B","Fund 6",6,5,24,26
1991-09-15,"Company B","Fund 7",6,4,27,30
1991-09-15,"Company B","Fund 8",6,3,34,26
1991-09-15,"Company B","Fund 9",6,8,36,33
1991-09-15,"Company B","Fund 10",6,7,33,21
1991-10-23,"Company B","Fund 1",7,8,26,29
1991-10-23,"Company B","Fund 2",7,2,35,39
1991-10-23,"Company B","Fund 3",7,6,30,22
1991-10-23,"Company B","Fund 4",7,6,38,41
1991-10-23,"Company B","Fund 5",7,8,39,40
1991-10-23,"Company B","Fund 6",7,4,25,31
1991-10-23,"Company B","Fund 7",7,6,22,34
1991-10-23,"Company B","Fund 8",7,9,27,29
1991-10-23,"Company B","Fund 9",7,9,36,41
1991-10-23,"Company B","Fund 10",7,6,27,28
1992-02-05,"Company B","Fund 1",8,4,26,37
1992-02-05,"Company B","Fund 2",8,2,33,41
1992-02-05,"Company B","Fund 3",8,5,27,28
1992-02-05,"Company B","Fund 4",8,9,38,47
1992-02-05,"Company B","Fund 5",8,6,25,48
1992-02-05,"Company B","Fund 6",8,2,21,35
1992-02-05,"Company B","Fund 7",8,7,29,40
1992-02-05,"Company B","Fund 8",8,1,35,38
1992-02-05,"Company B","Fund 9",8,3,21,50
1992-02-05,"Company B","Fund 10",8,7,36,34
1992-02-06,"Company B","Fund 1",9,8,30,41
1992-02-06,"Company B","Fund 2",9,1,30,43
1992-02-06,"Company B","Fund 3",9,8,36,33
1992-02-06,"Company B","Fund 4",9,7,22,56
1992-02-06,"Company B","Fund 5",9,3,23,54
1992-02-06,"Company B","Fund 6",9,2,24,37
1992-02-06,"Company B","Fund 7",9,9,23,47
1992-02-06,"Company B","Fund 8",9,10,25,39
1992-02-06,"Company B","Fund 9",9,8,35,53
1992-02-06,"Company B","Fund 10",9,7,28,41
1992-03-01,"Company B","Fund 1",10,8,22,49
1992-03-01,"Company B","Fund 2",10,3,40,44
1992-03-01,"Company B","Fund 3",10,4,34,41
1992-03-01,"Company B","Fund 4",10,9,35,63
1992-03-01,"Company B","Fund 5",10,2,39,57
1992-03-01,"Company B","Fund 6",10,10,38,39
1992-03-01,"Company B","Fund 7",10,4,31,56
1992-03-01,"Company B","Fund 8",10,1,40,49
1992-03-01,"Company B","Fund 9",10,9,27,61
1992-03-01,"Company B","Fund 10",10,1,21,48
1992-05-13,"Company C","Fund 1",1,7,33,1
1992-05-13,"Company C","Fund 2",1,5,39,1
1992-05-13,"Company C","Fund 3",1,8,26,1
1992-05-13,"Company C","Fund 4",1,4,40,1
1992-05-13,"Company C","Fund 5",1,8,21,1
1992-05-13,"Company C","Fund 6",1,9,38,1
1992-05-13,"Company C","Fund 7",1,5,32,1
1992-05-13,"Company C","Fund 8",1,7,36,1
1992-05-13,"Company C","Fund 9",1,9,35,1
1992-05-13,"Company C","Fund 10",1,8,21,1
1992-07-30,"Company C","Fund 1",2,1,25,7
1992-07-30,"Company C","Fund 2",2,7,36,5
1992-07-30,"Company C","Fund 3",2,6,37,8
1992-07-30,"Company C","Fund 4",2,3,39,4
1992-07-30,"Company C","Fund 5",2,9,32,8
1992-07-30,"Company C","Fund 6",2,8,27,9
1992-07-30,"Company C","Fund 7",2,10,32,5
1992-07-30,"Company C","Fund 8",2,4,31,7
1992-07-30,"Company C","Fund 9",2,9,35,9
1992-07-30,"Company C","Fund 10",2,6,22,8
1992-10-13,"Company C","Fund 1",3,4,30,8
1992-10-13,"Company C","Fund 2",3,1,34,12
1992-10-13,"Company C","Fund 3",3,2,32,14
1992-10-13,"Company C","Fund 4",3,10,28,7
1992-10-13,"Company C","Fund 5",3,4,31,17
1992-10-13,"Company C","Fund 6",3,6,31,17
1992-10-13,"Company C","Fund 7",3,2,40,15
1992-10-13,"Company C","Fund 8",3,6,34,11
1992-10-13,"Company C","Fund 9",3,8,25,18
1992-10-13,"Company C","Fund 10",3,3,33,14
1992-10-27,"Company C","Fund 1",4,5,33,12
1992-10-27,"Company C","Fund 2",4,4,29,13
1992-10-27,"Company C","Fund 3",4,2,27,16
1992-10-27,"Company C","Fund 4",4,4,33,17
1992-10-27,"Company C","Fund 5",4,10,40,21
1992-10-27,"Company C","Fund 6",4,4,38,23
1992-10-27,"Company C","Fund 7",4,9,27,17
1992-10-27,"Company C","Fund 8",4,8,26,17
1992-10-27,"Company C","Fund 9",4,1,35,26
1992-10-27,"Company C","Fund 10",4,9,39,17
1992-12-28,"Company C","Fund 1",5,2,32,17
1992-12-28,"Company C","Fund 2",5,8,27,17
1992-12-28,"Company C","Fund 3",5,7,25,18
1992-12-28,"Company C","Fund 4",5,2,31,21
1992-12-28,"Company C","Fund 5",5,8,32,31
1992-12-28,"Company C","Fund 6",5,2,28,27
1992-12-28,"Company C","Fund 7",5,8,30,26
1992-12-28,"Company C","Fund 8",5,7,30,25
1992-12-28,"Company C","Fund 9",5,5,37,27
1992-12-28,"Company C","Fund 10",5,6,35,26
1993-02-01,"Company C","Fund 1",6,7,31,19
1993-02-01,"Company C","Fund 2",6,5,25,25
1993-02-01,"Company C","Fund 3",6,4,26,25
1993-02-01,"Company C","Fund 4",6,10,23,23
1993-02-01,"Company C","Fund 5",6,6,34,39
1993-02-01,"Company C","Fund 6",6,3,33,29
1993-02-01,"Company C","Fund 7",6,8,37,34
1993-02-01,"Company C","Fund 8",6,5,24,32
1993-02-01,"Company C","Fund 9",6,3,26,32
1993-02-01,"Company C","Fund 10",6,4,37,32
1993-02-11,"Company C","Fund 1",7,8,23,26
1993-02-11,"Company C","Fund 2",7,9,37,30
1993-02-11,"Company C","Fund 3",7,10,35,29
1993-02-11,"Company C","Fund 4",7,9,27,33
1993-02-11,"Company C","Fund 5",7,2,37,45
1993-02-11,"Company C","Fund 6",7,9,22,32
1993-02-11,"Company C","Fund 7",7,9,36,42
1993-02-11,"Company C","Fund 8",7,7,31,37
1993-02-11,"Company C","Fund 9",7,3,37,35
1993-02-11,"Company C","Fund 10",7,2,22,36
1993-02-25,"Company C","Fund 1",8,10,25,34
1993-02-25,"Company C","Fund 2",8,4,25,39
1993-02-25,"Company C","Fund 3",8,2,24,39
1993-02-25,"Company C","Fund 4",8,4,40,42
1993-02-25,"Company C","Fund 5",8,5,32,47
1993-02-25,"Company C","Fund 6",8,4,27,41
1993-02-25,"Company C","Fund 7",8,1,36,51
1993-02-25,"Company C","Fund 8",8,2,33,44
1993-02-25,"Company C","Fund 9",8,6,28,38
1993-02-25,"Company C","Fund 10",8,8,32,38
1993-03-01,"Company C","Fund 1",9,10,29,44
1993-03-01,"Company C","Fund 2",9,8,28,43
1993-03-01,"Company C","Fund 3",9,1,21,41
1993-03-01,"Company C","Fund 4",9,6,26,46
1993-03-01,"Company C","Fund 5",9,3,33,52
1993-03-01,"Company C","Fund 6",9,1,36,45
1993-03-01,"Company C","Fund 7",9,8,32,52
1993-03-01,"Company C","Fund 8",9,5,28,46
1993-03-01,"Company C","Fund 9",9,4,25,44
1993-03-01,"Company C","Fund 10",9,9,33,46
1993-03-21,"Company C","Fund 1",10,3,23,54
1993-03-21,"Company C","Fund 2",10,5,40,51
1993-03-21,"Company C","Fund 3",10,6,35,42
1993-03-21,"Company C","Fund 4",10,10,34,52
1993-03-21,"Company C","Fund 5",10,2,23,55
1993-03-21,"Company C","Fund 6",10,9,32,46
1993-03-21,"Company C","Fund 7",10,3,29,60
1993-03-21,"Company C","Fund 8",10,10,29,51
1993-03-21,"Company C","Fund 9",10,9,31,48
1993-03-21,"Company C","Fund 10",10,8,26,55
1993-04-26,"Company D","Fund 1",1,1,24,1
1993-04-26,"Company D","Fund 2",1,7,29,1
1993-04-26,"Company D","Fund 3",1,4,36,1
1993-04-26,"Company D","Fund 4",1,7,31,1
1993-04-26,"Company D","Fund 5",1,3,26,1
1993-04-26,"Company D","Fund 6",1,1,21,1
1993-04-26,"Company D","Fund 7",1,4,38,1
1993-04-26,"Company D","Fund 8",1,1,32,1
1993-04-26,"Company D","Fund 9",1,4,24,1
1993-04-26,"Company D","Fund 10",1,5,37,1
1993-05-21,"Company D","Fund 1",2,2,22,1
1993-05-21,"Company D","Fund 2",2,1,31,7
1993-05-21,"Company D","Fund 3",2,6,36,4
1993-05-21,"Company D","Fund 4",2,8,34,7
1993-05-21,"Company D","Fund 5",2,2,26,3
1993-05-21,"Company D","Fund 6",2,5,37,1
1993-05-21,"Company D","Fund 7",2,4,37,4
1993-05-21,"Company D","Fund 8",2,10,32,1
1993-05-21,"Company D","Fund 9",2,10,37,4
1993-05-21,"Company D","Fund 10",2,4,29,5
1993-08-08,"Company D","Fund 1",3,5,28,3
1993-08-08,"Company D","Fund 2",3,7,39,8
1993-08-08,"Company D","Fund 3",3,4,35,10
1993-08-08,"Company D","Fund 4",3,10,32,15
1993-08-08,"Company D","Fund 5",3,6,29,5
1993-08-08,"Company D","Fund 6",3,2,27,6
1993-08-08,"Company D","Fund 7",3,8,27,8
1993-08-08,"Company D","Fund 8",3,1,37,11
1993-08-08,"Company D","Fund 9",3,10,27,14
1993-08-08,"Company D","Fund 10",3,1,37,9
1993-12-21,"Company D","Fund 1",4,3,30,8
1993-12-21,"Company D","Fund 2",4,9,38,15
1993-12-21,"Company D","Fund 3",4,4,31,14
1993-12-21,"Company D","Fund 4",4,8,37,25
1993-12-21,"Company D","Fund 5",4,6,36,11
1993-12-21,"Company D","Fund 6",4,8,38,8
1993-12-21,"Company D","Fund 7",4,4,36,16
1993-12-21,"Company D","Fund 8",4,5,32,12
1993-12-21,"Company D","Fund 9",4,10,36,24
1993-12-21,"Company D","Fund 10",4,4,36,10
1994-01-30,"Company D","Fund 1",5,6,38,11
1994-01-30,"Company D","Fund 2",5,8,40,24
1994-01-30,"Company D","Fund 3",5,5,38,18
1994-01-30,"Company D","Fund 4",5,4,30,33
1994-01-30,"Company D","Fund 5",5,8,31,17
1994-01-30,"Company D","Fund 6",5,2,26,16
1994-01-30,"Company D","Fund 7",5,9,39,20
1994-01-30,"Company D","Fund 8",5,8,24,17
1994-01-30,"Company D","Fund 9",5,2,35,34
1994-01-30,"Company D","Fund 10",5,3,22,14
1994-04-06,"Company D","Fund 1",6,3,37,17
1994-04-06,"Company D","Fund 2",6,8,37,32
1994-04-06,"Company D","Fund 3",6,3,37,23
1994-04-06,"Company D","Fund 4",6,3,40,37
1994-04-06,"Company D","Fund 5",6,6,26,25
1994-04-06,"Company D","Fund 6",6,1,23,18
1994-04-06,"Company D","Fund 7",6,4,29,29
1994-04-06,"Company D","Fund 8",6,9,26,25
1994-04-06,"Company D","Fund 9",6,3,23,36
1994-04-06,"Company D","Fund 10",6,10,38,17
1994-05-08,"Company D","Fund 1",7,7,28,20
1994-05-08,"Company D","Fund 2",7,10,31,40
1994-05-08,"Company D","Fund 3",7,4,25,26
1994-05-08,"Company D","Fund 4",7,7,30,40
1994-05-08,"Company D","Fund 5",7,3,28,31
1994-05-08,"Company D","Fund 6",7,5,38,19
1994-05-08,"Company D","Fund 7",7,4,35,33
1994-05-08,"Company D","Fund 8",7,8,33,34
1994-05-08,"Company D","Fund 9",7,9,32,39
1994-05-08,"Company D","Fund 10",7,5,35,27
1994-08-03,"Company D","Fund 1",8,4,24,27
1994-08-03,"Company D","Fund 2",8,5,36,50
1994-08-03,"Company D","Fund 3",8,5,27,30
1994-08-03,"Company D","Fund 4",8,10,32,47
1994-08-03,"Company D","Fund 5",8,1,35,34
1994-08-03,"Company D","Fund 6",8,9,31,24
1994-08-03,"Company D","Fund 7",8,2,22,37
1994-08-03,"Company D","Fund 8",8,5,32,42
1994-08-03,"Company D","Fund 9",8,5,25,48
1994-08-03,"Company D","Fund 10",8,8,24,32
1994-08-04,"Company D","Fund 1",9,5,37,31
1994-08-04,"Company D","Fund 2",9,5,30,55
1994-08-04,"Company D","Fund 3",9,4,29,35
1994-08-04,"Company D","Fund 4",9,4,34,57
1994-08-04,"Company D","Fund 5",9,6,40,35
1994-08-04,"Company D","Fund 6",9,3,21,33
1994-08-04,"Company D","Fund 7",9,8,34,39
1994-08-04,"Company D","Fund 8",9,2,40,47
1994-08-04,"Company D","Fund 9",9,10,30,53
1994-08-04,"Company D","Fund 10",9,8,38,40
1994-08-30,"Company D","Fund 1",10,7,29,36
1994-08-30,"Company D","Fund 2",10,7,33,60
1994-08-30,"Company D","Fund 3",10,4,28,39
1994-08-30,"Company D","Fund 4",10,2,30,61
1994-08-30,"Company D","Fund 5",10,9,28,41
1994-08-30,"Company D","Fund 6",10,10,25,36
1994-08-30,"Company D","Fund 7",10,1,35,47
1994-08-30,"Company D","Fund 8",10,9,21,49
1994-08-30,"Company D","Fund 9",10,8,24,63
1994-08-30,"Company D","Fund 10",10,8,29,48
1994-10-01,"Company E","Fund 1",1,4,37,1
1994-10-01,"Company E","Fund 2",1,8,38,1
1994-10-01,"Company E","Fund 3",1,8,38,1
1994-10-01,"Company E","Fund 4",1,5,26,1
1994-10-01,"Company E","Fund 5",1,10,36,1
1994-10-01,"Company E","Fund 6",1,9,29,1
1994-10-01,"Company E","Fund 7",1,3,33,1
1994-10-01,"Company E","Fund 8",1,8,23,1
1994-10-01,"Company E","Fund 9",1,8,34,1
1994-10-01,"Company E","Fund 10",1,1,26,1
1994-10-09,"Company E","Fund 1",2,9,28,4
1994-10-09,"Company E","Fund 2",2,7,30,8
1994-10-09,"Company E","Fund 3",2,1,36,8
1994-10-09,"Company E","Fund 4",2,6,37,5
1994-10-09,"Company E","Fund 5",2,3,40,10
1994-10-09,"Company E","Fund 6",2,7,31,9
1994-10-09,"Company E","Fund 7",2,7,35,3
1994-10-09,"Company E","Fund 8",2,10,30,8
1994-10-09,"Company E","Fund 9",2,8,21,8
1994-10-09,"Company E","Fund 10",2,8,35,1
1994-10-15,"Company E","Fund 1",3,4,34,13
1994-10-15,"Company E","Fund 2",3,3,22,15
1994-10-15,"Company E","Fund 3",3,5,27,9
1994-10-15,"Company E","Fund 4",3,9,27,11
1994-10-15,"Company E","Fund 5",3,6,40,13
1994-10-15,"Company E","Fund 6",3,3,40,16
1994-10-15,"Company E","Fund 7",3,8,32,10
1994-10-15,"Company E","Fund 8",3,3,39,18
1994-10-15,"Company E","Fund 9",3,3,26,16
1994-10-15,"Company E","Fund 10",3,10,32,9
1994-11-02,"Company E","Fund 1",4,10,25,17
1994-11-02,"Company E","Fund 2",4,2,24,18
1994-11-02,"Company E","Fund 3",4,8,31,14
1994-11-02,"Company E","Fund 4",4,9,21,20
1994-11-02,"Company E","Fund 5",4,10,31,19
1994-11-02,"Company E","Fund 6",4,2,36,19
1994-11-02,"Company E","Fund 7",4,1,36,18
1994-11-02,"Company E","Fund 8",4,4,37,21
1994-11-02,"Company E","Fund 9",4,1,24,19
1994-11-02,"Company E","Fund 10",4,1,24,19
1994-11-30,"Company E","Fund 1",5,5,34,27
1994-11-30,"Company E","Fund 2",5,5,24,20
1994-11-30,"Company E","Fund 3",5,4,33,22
1994-11-30,"Company E","Fund 4",5,6,38,29
1994-11-30,"Company E","Fund 5",5,5,26,29
1994-11-30,"Company E","Fund 6",5,6,30,21
1994-11-30,"Company E","Fund 7",5,2,32,19
1994-11-30,"Company E","Fund 8",5,2,39,25
1994-11-30,"Company E","Fund 9",5,10,38,20
1994-11-30,"Company E","Fund 10",5,1,21,20
1994-12-31,"Company E","Fund 1",6,7,38,32
1994-12-31,"Company E","Fund 2",6,1,40,25
1994-12-31,"Company E","Fund 3",6,8,28,26
1994-12-31,"Company E","Fund 4",6,9,40,35
1994-12-31,"Company E","Fund 5",6,9,30,34
1994-12-31,"Company E","Fund 6",6,10,39,27
1994-12-31,"Company E","Fund 7",6,2,37,21
1994-12-31,"Company E","Fund 8",6,7,38,27
1994-12-31,"Company E","Fund 9",6,3,35,30
1994-12-31,"Company E","Fund 10",6,1,38,21
1995-01-03,"Company E","Fund 1",7,9,30,39
1995-01-03,"Company E","Fund 2",7,2,22,26
1995-01-03,"Company E","Fund 3",7,10,23,34
1995-01-03,"Company E","Fund 4",7,7,34,44
1995-01-03,"Company E","Fund 5",7,1,39,43
1995-01-03,"Company E","Fund 6",7,3,24,37
1995-01-03,"Company E","Fund 7",7,4,24,23
1995-01-03,"Company E","Fund 8",7,6,30,34
1995-01-03,"Company E","Fund 9",7,6,28,33
1995-01-03,"Company E","Fund 10",7,6,34,22
1995-04-25,"Company E","Fund 1",8,3,40,48
1995-04-25,"Company E","Fund 2",8,5,33,28
1995-04-25,"Company E","Fund 3",8,7,23,44
1995-04-25,"Company E","Fund 4",8,7,37,51
1995-04-25,"Company E","Fund 5",8,8,25,44
1995-04-25,"Company E","Fund 6",8,9,40,40
1995-04-25,"Company E","Fund 7",8,1,28,27
1995-04-25,"Company E","Fund 8",8,2,22,40
1995-04-25,"Company E","Fund 9",8,1,37,39
1995-04-25,"Company E","Fund 10",8,7,25,28
1995-04-30,"Company E","Fund 1",9,8,34,51
1995-04-30,"Company E","Fund 2",9,3,34,33
1995-04-30,"Company E","Fund 3",9,8,33,51
1995-04-30,"Company E","Fund 4",9,6,30,58
1995-04-30,"Company E","Fund 5",9,2,23,52
1995-04-30,"Company E","Fund 6",9,6,22,49
1995-04-30,"Company E","Fund 7",9,3,26,28
1995-04-30,"Company E","Fund 8",9,2,36,42
1995-04-30,"Company E","Fund 9",9,1,37,40
1995-04-30,"Company E","Fund 10",9,2,24,35
1995-06-05,"Company E","Fund 1",10,5,22,59
1995-06-05,"Company E","Fund 2",10,8,39,36
1995-06-05,"Company E","Fund 3",10,1,24,59
1995-06-05,"Company E","Fund 4",10,1,24,64
1995-06-05,"Company E","Fund 5",10,2,26,54
1995-06-05,"Company E","Fund 6",10,1,30,55
1995-06-05,"Company E","Fund 7",10,6,32,31
1995-06-05,"Company E","Fund 8",10,8,30,44
1995-06-05,"Company E","Fund 9",10,3,34,41
1995-06-05,"Company E","Fund 10",10,2,37,37
1995-06-22,"Company F","Fund 1",1,6,27,1
1995-06-22,"Company F","Fund 2",1,6,24,1
1995-06-22,"Company F","Fund 3",1,1,38,1
1995-06-22,"Company F","Fund 4",1,9,29,1
1995-06-22,"Company F","Fund 5",1,7,37,1
1995-06-22,"Company F","Fund 6",1,10,37,1
1995-06-22,"Company F","Fund 7",1,9,21,1
1995-06-22,"Company F","Fund 8",1,9,28,1
1995-06-22,"Company F","Fund 9",1,5,29,1
1995-06-22,"Company F","Fund 10",1,1,29,1
1995-07-29,"Company F","Fund 1",2,5,29,6
1995-07-29,"Company F","Fund 2",2,9,33,6
1995-07-29,"Company F","Fund 3",2,5,31,1
1995-07-29,"Company F","Fund 4",2,3,22,9
1995-07-29,"Company F","Fund 5",2,6,24,7
1995-07-29,"Company F","Fund 6",2,4,26,10
1995-07-29,"Company F","Fund 7",2,10,39,9
1995-07-29,"Company F","Fund 8",2,1,21,9
1995-07-29,"Company F","Fund 9",2,6,36,5
1995-07-29,"Company F","Fund 10",2,1,34,1
1995-08-08,"Company F","Fund 1",3,3,40,11
1995-08-08,"Company F","Fund 2",3,4,22,15
1995-08-08,"Company F","Fund 3",3,10,30,6
1995-08-08,"Company F","Fund 4",3,7,30,12
1995-08-08,"Company F","Fund 5",3,4,33,13
1995-08-08,"Company F","Fund 6",3,6,33,14
1995-08-08,"Company F","Fund 7",3,10,21,19
1995-08-08,"Company F","Fund 8",3,10,31,10
1995-08-08,"Company F","Fund 9",3,6,25,11
1995-08-08,"Company F","Fund 10",3,3,22,2
1995-08-21,"Company F","Fund 1",4,2,32,14
1995-08-21,"Company F","Fund 2",4,1,40,19
1995-08-21,"Company F","Fund 3",4,5,31,16
1995-08-21,"Company F","Fund 4",4,4,26,19
1995-08-21,"Company F","Fund 5",4,4,35,17
