"","investment.date","company.id","firm.name","round.number","amount","valuation","equity.invested","equity","cum.inv.by.firm","max.cum.inv.by.firm","max.cum.inv.cum","lead.vc","lead.firm","lead.firm.1","lead.firm.2","lead.firm.3","lead.firm.4","lead.firm.5","lead.firm.6","lead.firm.7","lead.firm.8","lead.firm.9","lead.firm.10"
"27",1990-05-07,"Company A","Fund 6",3,5,35,11,119,21,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1990-05-07,"Company A","Fund 7",3,9,22,8,119,13,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1990-05-07,"Company A","Fund 8",3,10,29,19,119,29,29,29,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1990-05-07,"Company A","Fund 9",3,5,37,13,119,21,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1990-07-23,"Company A","Fund 1",4,1,30,21,189,46,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1990-07-23,"Company A","Fund 10",4,3,34,16,189,27,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1990-07-23,"Company A","Fund 2",4,9,26,25,189,46,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1990-07-23,"Company A","Fund 3",4,9,25,7,189,14,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1990-07-23,"Company A","Fund 4",4,7,30,17,189,35,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1990-07-23,"Company A","Fund 5",4,8,22,23,189,44,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1990-07-23,"Company A","Fund 6",4,3,29,16,189,37,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1990-07-23,"Company A","Fund 7",4,2,39,17,189,30,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1990-07-23,"Company A","Fund 8",4,4,36,29,189,58,58,58,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1990-07-23,"Company A","Fund 9",4,9,33,18,189,39,58,58,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1990-09-16,"Company A","Fund 1",5,5,34,22,244,68,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1990-09-16,"Company A","Fund 10",5,9,35,19,244,46,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1990-09-16,"Company A","Fund 2",5,8,40,34,244,80,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1990-09-16,"Company A","Fund 3",5,1,25,16,244,30,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1990-09-16,"Company A","Fund 4",5,3,26,24,244,59,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1990-09-16,"Company A","Fund 5",5,2,23,31,244,75,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1990-09-16,"Company A","Fund 6",5,3,29,19,244,56,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1990-09-16,"Company A","Fund 7",5,9,27,19,244,49,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1990-09-16,"Company A","Fund 8",5,9,35,33,244,91,91,91,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1990-09-16,"Company A","Fund 9",5,10,29,27,244,66,91,91,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1990-10-20,"Company A","Fund 1",6,9,21,27,303,95,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1990-10-20,"Company A","Fund 10",6,6,29,28,303,74,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1990-10-20,"Company A","Fund 2",6,1,34,42,303,122,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1990-10-20,"Company A","Fund 3",6,3,35,17,303,47,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1990-10-20,"Company A","Fund 4",6,3,30,27,303,86,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1990-10-20,"Company A","Fund 5",6,9,35,33,303,108,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1990-10-20,"Company A","Fund 6",6,5,23,22,303,78,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1990-10-20,"Company A","Fund 7",6,4,38,28,303,77,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1990-10-20,"Company A","Fund 8",6,7,21,42,303,133,133,133,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1990-10-20,"Company A","Fund 9",6,4,32,37,303,103,133,133,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1991-01-14,"Company A","Fund 1",7,9,24,36,354,131,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1991-01-14,"Company A","Fund 10",7,4,37,34,354,108,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1991-01-14,"Company A","Fund 2",7,1,23,43,354,165,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1991-01-14,"Company A","Fund 3",7,7,34,20,354,67,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1991-01-14,"Company A","Fund 4",7,10,34,30,354,116,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1991-01-14,"Company A","Fund 5",7,1,31,42,354,150,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1991-01-14,"Company A","Fund 6",7,6,28,27,354,105,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1991-01-14,"Company A","Fund 7",7,5,37,32,354,109,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1991-01-14,"Company A","Fund 8",7,4,28,49,354,182,182,182,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",1991-01-14,"Company A","Fund 9",7,6,33,41,354,144,182,182,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1991-01-30,"Company A","Fund 1",8,3,34,45,407,176,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1991-01-30,"Company A","Fund 10",8,4,21,38,407,146,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1991-01-30,"Company A","Fund 2",8,5,37,44,407,209,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1991-01-30,"Company A","Fund 3",8,2,30,27,407,94,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1991-01-30,"Company A","Fund 4",8,7,38,40,407,156,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1991-01-30,"Company A","Fund 5",8,6,24,43,407,193,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1991-01-30,"Company A","Fund 6",8,8,29,33,407,138,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1991-01-30,"Company A","Fund 7",8,2,23,37,407,146,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1991-01-30,"Company A","Fund 8",8,2,23,53,407,235,235,235,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1991-01-30,"Company A","Fund 9",8,1,32,47,407,191,235,235,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1991-02-06,"Company A","Fund 1",9,1,31,48,447,224,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1991-02-06,"Company A","Fund 10",9,8,32,42,447,188,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",1991-02-06,"Company A","Fund 2",9,1,21,49,447,258,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1991-02-06,"Company A","Fund 3",9,3,37,29,447,123,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1991-02-06,"Company A","Fund 4",9,3,35,47,447,203,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",1991-02-06,"Company A","Fund 5",9,7,35,49,447,242,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",1991-02-06,"Company A","Fund 6",9,2,23,41,447,179,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",1991-02-06,"Company A","Fund 7",9,1,32,39,447,185,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",1991-02-06,"Company A","Fund 8",9,8,33,55,447,290,290,290,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",1991-02-06,"Company A","Fund 9",9,7,40,48,447,239,290,290,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",1991-02-14,"Company A","Fund 1",10,10,29,49,488,273,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",1991-02-14,"Company A","Fund 10",10,9,38,50,488,238,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",1991-02-14,"Company A","Fund 2",10,10,32,50,488,308,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1991-02-14,"Company A","Fund 3",10,9,36,32,488,155,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",1991-02-14,"Company A","Fund 4",10,5,30,50,488,253,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",1991-02-14,"Company A","Fund 5",10,3,39,56,488,298,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1991-02-14,"Company A","Fund 6",10,6,40,43,488,222,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",1991-02-14,"Company A","Fund 7",10,2,38,40,488,225,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",1991-02-14,"Company A","Fund 8",10,2,25,63,488,353,353,353,TRUE,"Fund 8","Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1991-02-14,"Company A","Fund 9",10,8,24,55,488,294,353,353,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1991-03-19,"Company B","Fund 1",1,8,23,1,10,1,1,1,TRUE,"Fund 1","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"102",1991-03-19,"Company B","Fund 10",1,1,33,1,10,1,1,1,TRUE,"Fund 10","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"103",1991-03-19,"Company B","Fund 2",1,8,38,1,10,1,1,1,TRUE,"Fund 2","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"104",1991-03-19,"Company B","Fund 3",1,1,23,1,10,1,1,1,TRUE,"Fund 3","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"105",1991-03-19,"Company B","Fund 4",1,10,27,1,10,1,1,1,TRUE,"Fund 4","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"106",1991-03-19,"Company B","Fund 5",1,9,38,1,10,1,1,1,TRUE,"Fund 5","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"107",1991-03-19,"Company B","Fund 6",1,10,37,1,10,1,1,1,TRUE,"Fund 6","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"108",1991-03-19,"Company B","Fund 7",1,6,37,1,10,1,1,1,TRUE,"Fund 7","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"109",1991-03-19,"Company B","Fund 8",1,8,22,1,10,1,1,1,TRUE,"Fund 8","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"110",1991-03-19,"Company B","Fund 9",1,5,35,1,10,1,1,1,TRUE,"Fund 9","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"111",1991-04-01,"Company B","Fund 1",2,4,22,8,66,9,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"112",1991-04-01,"Company B","Fund 10",2,6,39,1,66,2,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"113",1991-04-01,"Company B","Fund 2",2,3,25,8,66,9,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"114",1991-04-01,"Company B","Fund 3",2,5,31,1,66,2,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"115",1991-04-01,"Company B","Fund 4",2,7,28,10,66,11,11,11,TRUE,"Fund 4","Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"116",1991-04-01,"Company B","Fund 5",2,4,33,9,66,10,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"117",1991-04-01,"Company B","Fund 6",2,2,31,10,66,11,11,11,TRUE,"Fund 6","Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"118",1991-04-01,"Company B","Fund 7",2,2,40,6,66,7,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"119",1991-04-01,"Company B","Fund 8",2,5,37,8,66,9,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"120",1991-04-01,"Company B","Fund 9",2,6,33,5,66,6,11,11,FALSE,NA,"Fund 4","Fund 6",NA,NA,NA,NA,NA,NA,NA,NA
"121",1991-05-24,"Company B","Fund 1",3,3,37,12,110,21,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",1991-05-24,"Company B","Fund 10",3,7,22,7,110,9,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",1991-05-24,"Company B","Fund 2",3,2,36,11,110,20,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",1991-05-24,"Company B","Fund 3",3,10,22,6,110,8,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",1991-05-24,"Company B","Fund 4",3,1,28,17,110,28,28,28,TRUE,"Fund 4","Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1991-05-24,"Company B","Fund 5",3,10,28,13,110,23,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1991-05-24,"Company B","Fund 6",3,1,32,12,110,23,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",1991-05-24,"Company B","Fund 7",3,10,32,8,110,15,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",1991-05-24,"Company B","Fund 8",3,5,31,13,110,22,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1991-05-24,"Company B","Fund 9",3,9,22,11,110,17,28,28,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",1991-05-26,"Company B","Fund 1",4,3,34,15,168,36,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"132",1991-05-26,"Company B","Fund 10",4,4,38,14,168,23,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"133",1991-05-26,"Company B","Fund 2",4,8,29,13,168,33,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"134",1991-05-26,"Company B","Fund 3",4,1,27,16,168,24,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"135",1991-05-26,"Company B","Fund 4",4,5,31,18,168,46,46,46,TRUE,"Fund 4","Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"136",1991-05-26,"Company B","Fund 5",4,2,35,23,168,46,46,46,TRUE,"Fund 5","Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"137",1991-05-26,"Company B","Fund 6",4,8,25,13,168,36,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"138",1991-05-26,"Company B","Fund 7",4,4,26,18,168,33,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"139",1991-05-26,"Company B","Fund 8",4,3,39,18,168,40,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"140",1991-05-26,"Company B","Fund 9",4,7,22,20,168,37,46,46,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"141",1991-06-13,"Company B","Fund 1",5,3,40,18,213,54,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",1991-06-13,"Company B","Fund 10",5,3,38,18,213,41,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",1991-06-13,"Company B","Fund 2",5,9,23,21,213,54,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",1991-06-13,"Company B","Fund 3",5,3,26,17,213,41,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",1991-06-13,"Company B","Fund 4",5,10,38,23,213,69,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",1991-06-13,"Company B","Fund 5",5,6,23,25,213,71,71,71,TRUE,"Fund 5","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1991-06-13,"Company B","Fund 6",5,5,23,21,213,57,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",1991-06-13,"Company B","Fund 7",5,8,24,22,213,55,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1991-06-13,"Company B","Fund 8",5,5,36,21,213,61,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",1991-06-13,"Company B","Fund 9",5,6,26,27,213,64,71,71,FALSE,NA,"Fund 5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",1991-09-15,"Company B","Fund 1",6,8,23,21,271,75,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"152",1991-09-15,"Company B","Fund 10",6,7,33,21,271,62,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"153",1991-09-15,"Company B","Fund 2",6,9,27,30,271,84,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"154",1991-09-15,"Company B","Fund 3",6,2,27,20,271,61,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"155",1991-09-15,"Company B","Fund 4",6,8,34,33,271,102,102,102,TRUE,"Fund 4","Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"156",1991-09-15,"Company B","Fund 5",6,9,36,31,271,102,102,102,TRUE,"Fund 5","Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"157",1991-09-15,"Company B","Fund 6",6,5,24,26,271,83,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"158",1991-09-15,"Company B","Fund 7",6,4,27,30,271,85,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"159",1991-09-15,"Company B","Fund 8",6,3,34,26,271,87,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"160",1991-09-15,"Company B","Fund 9",6,8,36,33,271,97,102,102,FALSE,NA,"Fund 4","Fund 5",NA,NA,NA,NA,NA,NA,NA,NA
"161",1991-10-23,"Company B","Fund 1",7,8,26,29,334,104,143,143,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",1991-10-23,"Company B","Fund 10",7,6,27,28,334,90,143,143,FALSE,NA,"Fund 4",NA,NA,NA,NA,NA,NA,NA,NA,NA
