"","manufacturer","model","year_built","serial_number","date","auction_price","condition","country_code","start_date"
"70","Company Y","Model-C",1982,964599,1997-12-09,62451,"U","US","19971209"
"71","Company Y","Model-C",1982,964599,2005-08-01,61001,"U","US","20050801"
"72","Company Y","Model-C",1982,964599,2017-06-18,22170,"U","US","20170618"
"73","Company Y","Model-C",1982,964599,2003-06-27,54206,"U","US","20030627"
"74","Company Y","Model-C",1982,964599,1992-02-26,89887,"U","US","19920226"
"75","Company Y","Model-C",1982,964599,2016-02-03,92875,"U","US","20160203"
"76","Company Y","Model-C",1981,815540,2019-04-06,12554,"U","US","20190406"
"77","Company Y","Model-C",1981,815540,2003-04-08,62781,"U","US","20030408"
"78","Company Y","Model-C",1981,815540,2002-03-24,69122,"U","US","20020324"
"79","Company Y","Model-C",1981,815540,2011-06-08,95450,"U","US","20110608"
"80","Company Y","Model-C",1981,815540,2016-08-20,17871,"U","US","20160820"
"81","Company Y","Model-C",1981,815540,1990-10-26,59059,"U","US","19901026"
"82","Company Y","Model-C",1981,815540,2005-12-02,37214,"U","US","20051202"
"83","Company Y","Model-C",1981,815540,2017-06-06,66764,"U","US","20170606"
"84","Company Y","Model-C",1981,815540,2013-07-08,77087,"U","US","20130708"
"85","Company Y","Model-C",1981,815540,2004-10-22,59633,"U","US","20041022"
"86","Company Y","Model-C",1981,815540,1998-12-21,65004,"U","US","19981221"
"87","Company Y","Model-C",1981,815540,2017-09-09,66253,"U","US","20170909"
"88","Company Y","Model-C",1981,815540,2009-11-02,64457,"U","US","20091102"
"89","Company Y","Model-C",1981,815540,1992-06-27,25909,"U","US","19920627"
"90","Company Y","Model-C",1981,815540,2007-12-06,23946,"U","US","20071206"
"91","Company Y","Model-D",1984,760467,2011-06-20,79360,"U","US","20110620"
"92","Company Y","Model-D",1984,760467,2008-09-13,53557,"U","US","20080913"
"93","Company Y","Model-D",1984,760467,2000-03-10,72852,"U","US","20000310"
"94","Company Y","Model-D",1984,760467,2001-03-05,83590,"U","US","20010305"
"95","Company Y","Model-D",1984,760467,1992-04-16,38120,"U","US","19920416"
"96","Company Y","Model-D",1984,760467,1999-02-06,90166,"U","US","19990206"
"97","Company Y","Model-D",1984,760467,2003-07-11,99266,"U","US","20030711"
"98","Company Y","Model-D",1984,760467,2015-01-26,27269,"U","US","20150126"
"99","Company Y","Model-D",1984,760467,2006-07-03,64789,"U","US","20060703"
"100","Company Y","Model-D",1984,760467,2018-10-11,11485,"U","US","20181011"
"101","Company Y","Model-D",1984,760467,2018-12-07,67782,"U","US","20181207"
"102","Company Y","Model-D",1984,760467,1992-11-01,10167,"U","US","19921101"
"103","Company Y","Model-D",1984,760467,2000-09-11,88242,"U","US","20000911"
"104","Company Y","Model-D",1984,760467,2001-02-25,72801,"U","US","20010225"
"105","Company Y","Model-D",1984,760467,2013-02-06,98183,"U","US","20130206"
"106","Company Y","Model-D",1987,318840,2018-06-24,74880,"U","US","20180624"
"107","Company Y","Model-D",1987,318840,2011-11-08,92520,"U","US","20111108"
"108","Company Y","Model-D",1987,318840,1998-01-21,83047,"U","US","19980121"
"109","Company Y","Model-D",1987,318840,2019-04-29,87649,"U","US","20190429"
"110","Company Y","Model-D",1987,318840,1998-11-30,43648,"U","US","19981130"
"111","Company Y","Model-D",1987,318840,2011-08-30,62084,"U","US","20110830"
"112","Company Y","Model-D",1987,318840,2013-07-11,60665,"U","US","20130711"
"113","Company Y","Model-D",1987,318840,2015-12-20,62096,"U","US","20151220"
"114","Company Y","Model-D",1987,318840,2001-12-11,48183,"U","US","20011211"
"115","Company Y","Model-D",1987,318840,2015-05-12,53077,"U","US","20150512"
"116","Company Y","Model-D",1987,318840,1991-04-25,30377,"U","US","19910425"
"117","Company Y","Model-D",1987,318840,1997-06-07,14166,"U","US","19970607"
"118","Company Y","Model-D",1987,318840,2001-08-08,58462,"U","US","20010808"
"119","Company Y","Model-D",1987,318840,1991-05-21,69270,"U","US","19910521"
"120","Company Y","Model-D",1987,318840,2015-01-24,33373,"U","US","20150124"
